#START7777
#--------------------------------------------------------------------------------------------------
#  기상청 지상관측 시간자료 [입력인수형태][예] ?tm=201007151200&stn=0&help=1
#--------------------------------------------------------------------------------------------------
#  1. TM     : 관측시각 (KST)
#  2. STN    : 국내 지점번호
#  3. WD     : 풍향 (36방위)
#  4. WS     : 풍속 (m/s)
#  5. GST_WD : 돌풍향 (36방위)
#  6. GST_WS : 돌풍속 (m/s)
#  7. GST_TM : 돌풍속이 관측된 시각 (시분)
#  8. PA     : 현지기압 (hPa)
#  9. PS     : 해면기압 (hPa)
# 10. PT     : 기압변화경향 (Code 0200)
# 11. PR     : 기압변화량 (hPa)
# 12. TA     : 기온 (C)
# 13. TD     : 이슬점온도 (C)
# 14. HM     : 상대습도 (%)
# 15. PV     : 수증기압 (hPa)
# 16. RN     : 강수량 (mm) : 11월~다음해3월까지는 3시간강수량(3,6,...24시 이외는 자료없음으로 표출), 4~10월까지는 1시간 강수량
# 17. RN_DAY : 일강수량 (mm) : 해당시간까지 관측된 양(통계표)
# 18. RN_JUN : 일강수량 (mm) : 해당시간까지 관측된 양을 전문으로 입력한 값(전문)
# 19. RN_INT : 강수강도 (mm/h) : 관측하는 곳이 별로 없음
# 20. SD_HR3 : 3시간 신적설 (cm) : 3시간 동안 내린 신적설의 높이
# 21. SD_DAY : 일 신적설 (cm) : 00시00분부터 위 관측시간까지 내린 신적설의 높이
# 22. SD_TOT : 적설 (cm) : 치우지 않고 그냥 계속 쌓이도록 놔눈 경우의 적설의 높이
# 23. WC     : GTS 현재일기 (Code 4677)
# 24. WP     : GTS 과거일기 (Code 4561) .. 3(황사),4(안개),5(가랑비),6(비),7(눈),8(소나기),9(뇌전)
# 25. WW     : 국내식 일기코드 (문자열 22개) : 2자리씩 11개까지 기록 가능 (코드는 관측정책과 문의)
# 26. CA_TOT : 전운량 (1/10)
# 27. CA_MID : 중하층운량 (1/10)
# 28. CH_MIN : 최저운고 (100m)
# 29. CT     : 운형 (문자열 8개) : 2자리 코드로 4개까지 기록 가능
# 30. CT_TOP : GTS 상층운형 (Code 0509)
# 31. CT_MID : GTS 중층운형 (Code 0515)
# 32. CT_LOW : GTS 하층운형 (Code 0513)
# 33. VS     : 시정 (10m)
# 34. SS     : 일조 (hr)
# 35. SI     : 일사 (MJ/m2)
# 36. ST_GD  : 지면상태 코드 (코드는 관측정책과 문의)
# 37. TS     : 지면온도 (C)
# 38. TE_005 : 5cm 지중온도 (C)
# 39. TE_01  : 10cm 지중온도 (C)
# 40. TE_02  : 20cm 지중온도 (C)
# 41. TE_03  : 30cm 지중온도 (C)
# 42. ST_SEA : 해면상태 코드 (코드는 관측정책과 문의)
# 43. WH     : 파고 (m) : 해안관측소에서 목측한 값
# 44. BF     : Beaufart 최대풍력(GTS코드)
# 45. IR     : 1(강수포함, 자동관측), 3(무강수 또는 결측), 4(강수포함, 수동입력)
# 46. IX     : 유인관측/무인관측 및 일기 포함여부 (code 1860) .. 1,2,3(유인) 4,5,6(무인) / 1,4(포함), 2,5(생략), 3,6(결측)
#--------------------------------------------------------------------------------------------------
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202211300900  90  29  4.6  32 10.0  331 1025.7 1028.0  2   1.7  -3.0 -24.6  17.0   0.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  -1.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202211300900  93  36  2.5  -9 -9.0   -9 1020.6 1033.1  2   2.7  -6.3 -21.4  29.0   1.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  0.55 -9  -2.6   0.8   2.5   5.1   7.0  -9 -9.0 -9  3  2
202211300900  95  27  2.1  -9 -9.0   -9 1014.0 1034.4  2   2.5  -8.0 -19.2  40.0   1.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5009  0.8  0.43 -9  -1.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202211300900  98  34  1.8  -9 -9.0   -9 1019.2 1034.4  2   2.6  -6.9 -17.4  43.0   1.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3335  0.7  0.43 -9  -2.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202211300900  99  34  2.2  -9 -9.0   -9 1031.1 1035.1  2   2.6  -6.7 -16.4  46.0   1.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4139  1.0  0.48 -9  -1.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202211300900 100  29  2.3  29 14.0  459  933.2 1030.3  2   3.8  -9.3 -23.7  30.0   0.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  0.9  0.49 -9  -4.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202211300900 101  29  1.3  -9 -9.0   -9 1023.0 1032.9  2   2.8  -6.0 -19.7  33.0   1.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0  -9   -9 -         -9  -9  -9  5000  0.7  0.46 -9  -3.6   2.4   3.2   6.4   8.2  -9 -9.0 -9  3 -9
202211300900 102  34 11.9  34 20.0  312 1029.3 1034.0  2   2.0  -4.6  -9.0  71.0   3.1    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 70 77 05                       8   8    8 Sc         0   0   5  1854  0.0  0.08 -9  -5.0 -99.0 -99.0 -99.0 -99.0  -9  2.5 -9  1  1
202211300900 104  36  4.1  32 10.0  453 1017.6 1027.2  2   2.7  -1.2 -20.2  22.0   1.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  0.9  0.57 -9  -0.3   2.6   4.7   9.1   9.7  -9 -9.0 -9  3  2
202211300900 105  32  2.7  -9 -9.0   -9 1024.4 1027.9  2   2.7  -0.8 -15.8  31.0   1.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000  0.8 -9.00 -9   0.3   3.7   5.5   7.5   9.4  -9 -9.0 -9  3  2
202211300900 106  32  3.3  -9 -9.0   -9 1022.6 1027.8  2   3.7   0.4 -18.9  22.0   1.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  4973  0.7 -9.00 -9  -0.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
